"","subject","word","context","sentence","string","Head","Hand_arm","Foot_leg","Torso","Mouth_throat"
"46","gwgfbnvsuq","draw","M2_a","He drew a tree.","drew",3,4,0,2,0
"47","gwgfbnvsuq","match","M1_a","It was a lit match.","match",0,0,0,0,0
"48","gwgfbnvsuq","message","M2_b","There was a clear message.","message",0,3,0,0,0
"49","gwgfbnvsuq","bail","M2_b","He bailed out the liquid.","bailed",2,0,0,0,0
"50","gwgfbnvsuq","palm","M2_b","It was a tree palm.","palm",0,2,0,0,0
"51","gwgfbnvsuq","jam","M1_a","It was a blackberry jam.","jam",0,0,0,0,3
"52","gwgfbnvsuq","clear","M1_a","He cleared the desk.","cleared",0,3,0,0,0
"53","gwgfbnvsuq","block","M1_b","She had a wooden block.","block",0,3,0,0,0
"54","gwgfbnvsuq","panel","M1_a","It was a control panel.","panel",3,3,0,0,0
"55","gwgfbnvsuq","drill","M1_a","It was a grueling drill.","drill",0,2,0,0,0
"56","gwgfbnvsuq","break","M1_b","He broke the dish.","broke",0,3,0,2,0
"57","nl61clgado","film","M2_a","It was a transparent film.","film",1,4,0,0,2
"58","nl61clgado","lunch","M1_a","They liked the hot lunch.","lunch",0,5,0,3,5
"59","nl61clgado","message","M2_b","There was a clear message.","message",2,5,0,2,5
"60","nl61clgado","lap","M1_a","She lapped the milk.","lapped",0,0,0,0,0
"61","nl61clgado","appeal","M1_b","He had an undefinable appeal.","appeal",5,0,0,0,0
"62","nl61clgado","pen","M2_a","She penned her memoirs.","penned",5,5,0,0,0
"63","nl61clgado","act","M1_a","It was a desperate act.","act",4,3,0,0,5
"64","nl61clgado","poach","M2_b","She poached the vegetables.","poached",0,1,0,0,0
"65","nl61clgado","sage","M2_b","He saw the bushy sage.","sage",2,0,0,0,0
"66","nl61clgado","serve","M1_a","She served a pie.","served",0,5,0,0,2
"67","nl61clgado","guide","M1_b","He had a TV guide.","guide",0,5,0,0,5
"68","nl61clgado","spill","M2_b","He spilled the secret.","spilled",0,4,2,0,5
"69","nl61clgado","degree","M2_a","It was about associate degrees.","degrees",5,3,0,0,0
"70","nl61clgado","fix","M1_a","They fixed the radio.","fixed",5,5,0,0,0
"71","nl61clgado","clog","M2_a","The pipe clogged.","clogged",0,0,0,0,0
"72","nl61clgado","punch","M1_b","He had the fruit punch.","punch",1,5,0,0,1
"73","nl61clgado","perch","M1_b","It was a freshwater perch.","perch",0,0,0,0,0
"74","nl61clgado","blood","M2_b","He has royal blood.","blood",2,5,2,0,0
"75","nl61clgado","design","M2_b","They liked the architectural design.","design",5,5,0,0,0
"76","nl61clgado","market","M2_b","He liked the stock market.","market",5,5,0,0,3
"77","nl61clgado","count","M1_b","That was the vengeful count.","count",5,5,0,0,5
"78","nl61clgado","stall","M2_b","They stalled the pig.","stalled",2,3,0,0,2
"79","nl61clgado","stay","M1_a","They stayed wet.","stayed",0,2,0,0,0
"80","nl61clgado","check","M1_a","He checked the engine.","checked",4,1,0,0,0
"81","nl61clgado","mold","M1_a","It was a fungal mold.","mold",2,1,0,0,2
"82","nl61clgado","post","M1_b","It was a fence post.","post",0,0,0,0,0
"83","nl61clgado","toast","M2_b","They toasted the bride.","toasted",0,5,0,0,5
"84","nl61clgado","drain","M1_a","They drained the account.","drained",0,0,0,0,0
"85","nl61clgado","cape","M1_b","It was a flowing cape.","cape",2,2,0,3,0
"86","nl61clgado","bat","M1_a","He saw a furry bat.","bat",0,0,0,0,0
"87","nl61clgado","home","M2_a","It was a funeral home.","home",5,2,1,0,1
"88","nl61clgado","scene","M2_a","It was a nature scene.","scene",4,0,0,0,0
"89","nl61clgado","cross","M2_b","He crossed a friend.","crossed",1,5,5,0,0
"90","nl61clgado","lamb","M2_b","They liked the friendly lamb.","lamb",0,0,0,0,0
"91","nl61clgado","company","M2_b","He liked the polite company.","company",1,3,0,0,3
"92","nl61clgado","palm","M2_a","It was a tropical palm.","palm",0,3,0,0,0
"93","nl61clgado","drill","M1_b","It was a challenging drill.","drill",2,4,4,1,3
"94","nl61clgado","pitcher","M1_a","He saw the fast pitcher.","pitcher",1,5,2,1,1
"95","nl61clgado","tap","M2_b","He tapped the drums.","tapped",0,5,5,0,0
"96","nl61clgado","intelligence","M2_b","They had military intelligence.","intelligence",5,1,0,0,3
"97","nl61clgado","newspaper","M2_b","It was a shredded newspaper.","newspaper",4,4,0,0,2
"98","nl61clgado","cone","M2_a","It was an orange cone.","cone",0,0,0,0,0
"99","nl61clgado","orange","M2_b","It was a reddish orange.","orange",2,0,0,0,0
"100","nl61clgado","load","M2_b","She loaded the van.","loaded",0,0,0,0,0
"101","nl61clgado","tip","M1_a","It was a generous tip.","tip",0,0,0,0,0
"102","nl61clgado","guard","M2_b","They liked the national guard.","guard",0,0,0,0,0
"103","nl61clgado","mole","M2_b","She saw the fast mole.","mole",0,0,0,0,0
"104","nl61clgado","racket","M2_b","That was a tennis racket.","racket",0,3,0,0,0
"105","nl61clgado","book","M1_b","He had a popular book.","book",5,5,0,0,5
"106","nl61clgado","pick","M1_a","He picked his coffee.","picked",1,3,0,0,1
"107","nl61clgado","scale","M2_a","It was a music scale.","scale",1,1,0,2,0
"108","nl61clgado","cell","M2_a","It was a prison cell.","cell",0,0,1,0,0
"109","nl61clgado","beam","M1_b","He saw the bright beam.","beam",2,0,0,0,0
"110","nl61clgado","bail","M1_a","He bailed out the prisoner.","bailed",0,0,0,0,0
"111","nl61clgado","term","M1_b","It was a fall term.","term",0,0,0,0,0
"112","nl61clgado","stake","M2_a","He staked his name.","staked",0,0,0,0,0
"113","6dotytyhym","tick","M2_b","It was a diseased tick.","tick",0,0,1,3,0
"114","6dotytyhym","sage","M2_a","He saw the fragrant sage.","sage",4,0,0,0,2
"115","6dotytyhym","film","M2_b","It was a plastic film.","film",3,2,0,0,0
"116","6dotytyhym","cross","M2_b","He crossed a friend.","crossed",2,3,2,0,0
"117","6dotytyhym","seal","M2_a","It was a circus seal.","seal",2,0,0,0,0
"118","6dotytyhym","tip","M2_b","It was a finger tip.","tip",0,3,0,0,0
"119","6dotytyhym","call","M2_a","They called the loan.","called",2,0,0,0,0
"120","6dotytyhym","panel","M1_a","It was a control panel.","panel",2,3,0,0,0
"121","6dotytyhym","term","M2_b","It was a technical term.","term",0,0,0,0,3
"122","6dotytyhym","band","M1_a","It was a gold band.","band",0,2,0,0,2
"123","6dotytyhym","movement","M2_b","He liked the civil-rights movement.","movement",0,3,3,0,3
"124","6dotytyhym","load","M2_b","She loaded the van.","loaded",0,3,2,3,0
"125","6dotytyhym","act","M2_b","It was a comedic act.","act",4,3,1,2,4
"126","6dotytyhym","breakfast","M1_a","They ate a pancake breakfast.","breakfast",2,0,0,0,4
"127","6dotytyhym","dinner","M2_a","They liked the formal dinner.","dinner",3,0,0,0,4
"128","6dotytyhym","spill","M2_b","He spilled the secret.","spilled",2,2,2,0,1
"129","6dotytyhym","tape","M1_b","He used the double-sided tape.","tape",0,0,0,0,0
"130","6dotytyhym","stay","M2_b","They stayed overnight.","stayed",0,0,2,1,0
"131","6dotytyhym","lock","M1_b","She had brown locks.","locks",3,0,0,0,0
"132","6dotytyhym","break","M1_b","He broke the dish.","broke",1,3,0,0,1
"133","6dotytyhym","yard","M2_b","They were cluttered yards.","yards",0,0,2,0,0
"134","6dotytyhym","fix","M2_b","They fixed the price.","fixed",0,1,0,0,0
"135","6dotytyhym","market","M2_b","He liked the stock market.","market",2,0,0,2,0
"136","6dotytyhym","date","M2_b","It was a historical date.","date",1,0,0,0,0
"137","6dotytyhym","cone","M1_a","It was a waffle cone.","cone",0,1,0,0,2
"138","6dotytyhym","post","M2_b","It was a challenging post.","post",0,0,3,2,0
"139","6dotytyhym","sing","M2_b","The cricket sang.","sang",4,1,0,2,4
"140","6dotytyhym","track","M1_a","She saw the train tracks.","tracks",1,0,0,0,0
"141","6dotytyhym","company","M2_b","He liked the polite company.","company",0,0,0,0,2
"142","6dotytyhym","message","M2_a","There was an urgent message.","message",2,0,0,0,3
"143","6dotytyhym","tap","M1_b","He tapped the beer.","tapped",0,4,0,0,0
"144","6dotytyhym","case","M2_b","It was a criminal case.","case",2,0,0,2,2
"145","6dotytyhym","serve","M1_b","She served a lasagna.","served",0,3,1,2,0
"146","6dotytyhym","run","M1_a","She ran the marathon.","ran",0,3,4,2,1
"147","6dotytyhym","check","M2_b","He checked the facts.","checked",4,0,0,0,0
"148","6dotytyhym","hail","M1_a","They hailed a cab.","hailed",3,3,0,0,3
"149","6dotytyhym","cause","M2_a","It was a main cause.","cause",0,0,0,0,0
"150","6dotytyhym","class","M2_b","It was a stimulating class.","class",2,1,0,2,0
"151","6dotytyhym","foundation","M2_b","It was a concrete foundation.","foundation",0,0,3,3,0
"152","6dotytyhym","toast","M2_a","They toasted the host.","toasted",0,2,0,0,3
"153","6dotytyhym","home","M1_a","It was a summer home.","home",0,0,0,2,0
"154","6dotytyhym","match","M2_a","It was a soccer match.","match",0,0,0,0,0
"155","6dotytyhym","ground","M1_a","He was on the firm ground.","ground",0,0,3,0,0
"156","6dotytyhym","blood","M1_a","He has coagulated blood.","blood",0,0,0,2,3
"157","6dotytyhym","cape","M1_a","It was a red cape.","cape",0,0,0,2,0
"158","6dotytyhym","scene","M1_b","It was a well-acted scene.","scene",1,0,0,1,0
"159","6dotytyhym","pupil","M2_b","She had a cloudy pupil.","pupil",3,0,0,0,0
"160","6dotytyhym","lamb","M1_b","They liked the grilled lamb.","lamb",1,0,0,0,3
"161","6dotytyhym","design","M2_b","They liked the architectural design.","design",2,0,0,0,0
"162","6dotytyhym","clip","M2_a","It was a hair clip.","clip",3,2,0,0,0
"163","6dotytyhym","guard","M1_a","They liked the night guard.","guard",3,3,1,2,1
"164","6dotytyhym","drill","M1_b","It was a challenging drill.","drill",0,1,0,0,0
"165","6dotytyhym","board","M1_b","It was the wooden board.","board",0,0,1,0,0
"166","7pnv220swp","fix","M1_b","They fixed the dishwasher.","fixed",2,2,0,2,0
"167","7pnv220swp","bat","M2_b","He saw a baseball bat.","bat",2,5,0,3,2
"168","7pnv220swp","sage","M1_a","He saw the wise sage.","sage",1,2,0,0,0
"169","7pnv220swp","blood","M2_b","He has royal blood.","blood",2,0,1,1,2
"170","7pnv220swp","clip","M1_b","It was a video clip.","clip",2,0,0,0,1
"171","7pnv220swp","term","M1_b","It was a fall term.","term",2,2,2,0,2
"172","7pnv220swp","jam","M2_a","It was a traffic jam.","jam",1,2,0,1,2
"173","7pnv220swp","examination","M2_b","It was a physical examination.","examination",2,4,4,4,4
"174","7pnv220swp","fan","M1_a","They had an electric fan.","fan",0,0,1,1,0
"175","7pnv220swp","spill","M1_a","He spilled the drink.","spilled",0,0,1,1,3
"176","7pnv220swp","foundation","M1_a","It was a charitable foundation.","foundation",2,0,0,0,1
"177","7pnv220swp","call","M1_a","They called the landlord.","called",2,1,0,0,5
"178","7pnv220swp","case","M1_a","It was a beer case.","case",0,0,0,0,0
"179","7pnv220swp","count","M2_a","That was the final count.","count",1,1,1,1,2
"180","7pnv220swp","bank","M1_a","He banked the plane.","banked",0,1,0,0,0
"181","7pnv220swp","date","M1_a","It was a dinner date.","date",2,1,0,1,5
"182","7pnv220swp","orange","M2_b","It was a reddish orange.","orange",0,0,0,0,0
"183","7pnv220swp","issue","M1_b","It was a political issue.","issue",2,0,0,1,2
"184","7pnv220swp","poach","M2_b","She poached the vegetables.","poached",2,1,0,0,2
"185","7pnv220swp","pick","M2_b","He picked his nose.","picked",2,4,0,0,1
"186","7pnv220swp","pen","M1_a","She penned her animals.","penned",1,3,1,0,0
"187","7pnv220swp","board","M2_a","It was the executive board.","board",0,0,0,0,2
"188","7pnv220swp","band","M1_b","It was a rubber band.","band",0,0,0,0,0
"189","7pnv220swp","track","M2_a","She saw the moose tracks.","tracks",0,3,3,0,0
"190","7pnv220swp","film","M2_a","It was a transparent film.","film",0,0,0,0,1
"191","7pnv220swp","perch","M2_a","It was a lofty perch.","perch",1,0,2,0,0
"192","7pnv220swp","punch","M1_b","He had the fruit punch.","punch",1,2,0,0,0
"193","7pnv220swp","title","M1_b","She liked the poem title.","title",4,0,0,0,0
"194","7pnv220swp","medicine","M2_b","It was veterinary medicine.","medicine",0,1,0,2,4
"195","7pnv220swp","market","M1_b","He liked the fish market.","market",2,1,0,0,3
"196","7pnv220swp","barrier","M1_a","There was a police barrier.","barrier",2,2,1,2,0
"197","7pnv220swp","lunch","M2_b","They liked the women's lunch.","lunch",1,1,0,1,3
"198","7pnv220swp","scene","M1_a","It was a touching scene.","scene",1,0,0,0,0
"199","7pnv220swp","act","M1_a","It was a desperate act.","act",1,2,0,0,2
"200","7pnv220swp","cast","M2_a","She cast a spear.","cast",1,0,0,0,0
"201","7pnv220swp","push","M1_b","He pushed the drugs.","pushed",1,3,0,0,0
"202","7pnv220swp","position","M2_b","He was in a yoga position.","position",2,3,4,4,0
"203","7pnv220swp","book","M2_a","He had a heavy book.","book",1,1,1,0,0
"204","7pnv220swp","message","M2_a","There was an urgent message.","message",2,0,0,0,0
"205","7pnv220swp","newspaper","M2_b","It was a shredded newspaper.","newspaper",1,1,0,0,0
"206","7pnv220swp","dream","M2_a","He had a childhood dream.","dream",2,0,0,0,0
"207","7pnv220swp","class","M2_b","It was a stimulating class.","class",4,2,0,0,0
"208","7pnv220swp","tap","M2_a","He tapped the stick.","tapped",0,2,2,0,0
"209","7pnv220swp","cape","M1_a","It was a red cape.","cape",2,1,0,2,0
"210","7pnv220swp","clog","M1_b","The choreographer clogged.","clogged",1,0,0,0,0
"211","7pnv220swp","check","M1_a","He checked the engine.","checked",4,0,0,0,0
"212","7pnv220swp","scale","M2_b","It was a major scale.","scale",1,0,2,0,0
"213","7pnv220swp","break","M2_b","He broke the promise.","broke",0,2,2,0,0
"214","7pnv220swp","toast","M2_a","They toasted the host.","toasted",2,2,2,2,2
"215","7pnv220swp","mold","M1_a","It was a fungal mold.","mold",0,0,0,0,0
"216","7pnv220swp","pupil","M2_a","She had a dilated pupil.","pupil",3,0,0,0,0
"217","7pnv220swp","hail","M1_a","They hailed a cab.","hailed",2,2,1,0,3
"218","7pnv220swp","page","M2_b","He saw the ripped page.","page",0,4,0,0,0
"219","7pnv220swp","draw","M1_b","He drew a sword.","drew",1,4,0,0,0
"220","aobgq20y9g","tap","M1_b","He tapped the beer.","tapped",1,5,5,0,0
"221","aobgq20y9g","home","M1_a","It was a summer home.","home",1,2,1,3,1
"222","aobgq20y9g","punch","M2_a","He had the strongest punch.","punch",1,5,3,3,4
"223","aobgq20y9g","market","M2_b","He liked the stock market.","market",0,0,0,0,1
"224","aobgq20y9g","yard","M2_b","They were cluttered yards.","yards",1,1,0,1,3
"225","aobgq20y9g","breakfast","M2_a","They ate a family breakfast.","breakfast",0,1,2,2,3
"226","aobgq20y9g","lamb","M1_a","They liked the marinated lamb.","lamb",2,2,2,1,4
"227","aobgq20y9g","date","M1_b","It was a blind date.","date",1,0,2,2,4
"228","aobgq20y9g","atmosphere","M1_b","It was a hostile atmosphere.","atmosphere",4,3,1,2,5
"229","aobgq20y9g","rock","M1_b","He liked alternative rock.","rock",3,1,1,0,1
"230","aobgq20y9g","guide","M1_b","He had a TV guide.","guide",2,1,0,2,3
"231","aobgq20y9g","charm","M1_b","She had a natural charm.","charm",1,1,0,4,2
"232","aobgq20y9g","cast","M2_a","She cast a spear.","cast",1,1,0,0,5
"233","aobgq20y9g","barrier","M2_a","There was a language barrier.","barrier",1,3,0,5,4
"234","aobgq20y9g","perch","M1_b","It was a freshwater perch.","perch",0,0,0,0,1
"235","aobgq20y9g","draw","M2_a","He drew a tree.","drew",0,3,1,2,3
"236","aobgq20y9g","spill","M2_b","He spilled the secret.","spilled",0,4,0,3,5
"237","aobgq20y9g","run","M1_b","She ran the race.","ran",0,1,1,2,1
"238","aobgq20y9g","clog","M2_a","The pipe clogged.","clogged",1,2,0,1,3
"239","aobgq20y9g","cape","M1_a","It was a red cape.","cape",1,2,1,2,1
"240","aobgq20y9g","pen","M2_a","She penned her memoirs.","penned",0,1,1,2,4
"241","aobgq20y9g","bail","M2_a","He bailed out the water.","bailed",1,2,0,2,3
"242","aobgq20y9g","palm","M2_a","It was a tropical palm.","palm",1,1,0,2,2
"243","aobgq20y9g","issue","M2_b","It was a special issue.","issue",0,2,1,3,4
"244","aobgq20y9g","passage","M1_a","It was a secret passage.","passage",2,2,2,1,3
"245","aobgq20y9g","page","M1_b","He saw the loyal page.","page",1,1,2,2,3
"246","aobgq20y9g","dinner","M2_b","They liked the anniversary dinner.","dinner",0,1,1,2,1
"247","aobgq20y9g","port","M2_b","It was a sweet port.","port",2,0,2,1,2
"248","aobgq20y9g","check","M1_a","He checked the engine.","checked",3,2,0,3,4
"249","aobgq20y9g","count","M1_b","That was the vengeful count.","count",2,1,1,3,4
"250","aobgq20y9g","column","M1_a","It was a gossip column.","column",4,2,0,2,5
"251","aobgq20y9g","contribution","M1_a","He made a charitable contribution.","contribution",2,3,2,3,5
"252","aobgq20y9g","pupil","M2_b","She had a cloudy pupil.","pupil",0,1,1,1,3
"253","aobgq20y9g","band","M2_a","It was a jazz band.","band",2,2,0,1,2
"254","aobgq20y9g","orange","M2_b","It was a reddish orange.","orange",0,0,0,1,3
"255","aobgq20y9g","blood","M2_a","He has noble blood.","blood",3,4,0,3,5
"256","aobgq20y9g","cross","M1_a","He crossed a road.","crossed",1,2,3,1,2
"257","aobgq20y9g","key","M1_b","It was a master key.","key",2,2,1,3,1
"258","aobgq20y9g","toll","M1_b","It was a road toll.","toll",1,0,0,1,2
"259","aobgq20y9g","company","M2_b","He liked the polite company.","company",3,3,2,3,4
"260","aobgq20y9g","position","M2_b","He was in a yoga position.","position",2,4,3,4,3
"261","aobgq20y9g","toast","M2_a","They toasted the host.","toasted",1,3,1,0,2
"262","aobgq20y9g","film","M1_b","It was a censored film.","film",1,1,0,1,2
"263","aobgq20y9g","scale","M2_b","It was a major scale.","scale",1,2,1,0,1
"264","aobgq20y9g","lunch","M1_b","They liked the sandwich lunch.","lunch",3,2,1,4,4
"265","aobgq20y9g","break","M1_b","He broke the dish.","broke",3,2,3,2,4
"266","aobgq20y9g","guard","M2_a","They liked the coast guard.","guard",1,1,0,1,2
"267","aobgq20y9g","poach","M1_a","She poached the deer.","poached",2,2,0,3,4
"268","aobgq20y9g","tip","M2_a","It was a pencil tip.","tip",5,2,2,1,3
"269","aobgq20y9g","hail","M2_b","They hailed a guest.","hailed",3,4,1,4,3
"270","aobgq20y9g","stake","M2_a","He staked his name.","staked",2,4,3,3,4
"271","aobgq20y9g","sing","M1_b","The choir sang.","sang",0,3,0,3,3
"272","aobgq20y9g","stall","M1_a","They stalled the truck.","stalled",1,3,2,2,2
"273","aobgq20y9g","clear","M2_b","He cleared the road.","cleared",2,4,3,3,2
"274","94k3zbhysc","newspaper","M2_a","It was a faded newspaper.","newspaper",1,1,0,0,0
"275","94k3zbhysc","cape","M1_b","It was a flowing cape.","cape",0,0,0,4,0
"276","94k3zbhysc","file","M1_b","She had a data file.","file",0,1,0,0,0
"277","94k3zbhysc","lunch","M1_a","They liked the hot lunch.","lunch",1,0,0,1,5
"278","94k3zbhysc","scale","M2_a","It was a music scale.","scale",2,1,4,0,1
"279","94k3zbhysc","appeal","M2_a","He had a legal appeal.","appeal",1,1,0,0,1
"280","94k3zbhysc","board","M2_a","It was the executive board.","board",0,0,0,1,2
"281","94k3zbhysc","passage","M1_b","It was a narrow passage.","passage",0,0,1,3,0
"282","94k3zbhysc","cone","M1_a","It was a waffle cone.","cone",1,1,0,0,3
"283","94k3zbhysc","pitcher","M2_a","He saw the glass pitcher.","pitcher",0,3,0,1,2
"284","94k3zbhysc","sing","M2_b","The cricket sang.","sang",1,0,0,0,5
"285","94k3zbhysc","page","M1_b","He saw the loyal page.","page",1,1,0,1,1
"286","94k3zbhysc","class","M1_a","It was a perceptive class.","class",2,1,0,0,1
"287","94k3zbhysc","band","M1_a","It was a gold band.","band",2,0,1,0,1
"288","94k3zbhysc","toll","M2_b","It was a bell toll.","toll",0,1,0,0,1
"289","94k3zbhysc","pick","M1_b","He picked his dinner.","picked",1,1,0,1,0
"290","94k3zbhysc","serve","M1_b","She served a lasagna.","served",0,1,1,1,0
"291","94k3zbhysc","issue","M2_b","It was a special issue.","issue",0,0,0,0,0
"292","94k3zbhysc","intelligence","M2_a","They had classified intelligence.","intelligence",5,1,1,1,1
"293","94k3zbhysc","dinner","M1_a","They liked the turkey dinner.","dinner",0,2,0,1,5
"294","94k3zbhysc","port","M2_a","It was a delicious port.","port",0,0,1,1,0
"295","94k3zbhysc","atmosphere","M1_b","It was a hostile atmosphere.","atmosphere",0,0,0,4,0
"296","94k3zbhysc","charm","M2_a","She had a gold charm.","charm",0,0,0,2,0
"297","94k3zbhysc","tap","M2_b","He tapped the drums.","tapped",0,3,1,1,0
"298","94k3zbhysc","mole","M1_b","She saw the raised mole.","mole",1,2,0,2,0
"299","94k3zbhysc","sage","M1_a","He saw the wise sage.","sage",5,0,0,0,5
"300","94k3zbhysc","racket","M1_b","That was an annoying racket.","racket",0,3,1,1,0
"301","94k3zbhysc","seal","M1_b","It was a certified seal.","seal",0,2,0,0,0
"302","94k3zbhysc","lamb","M2_a","They liked the cute lamb.","lamb",1,0,0,0,0
"303","94k3zbhysc","cold","M2_a","It was a chest cold.","cold",1,0,0,3,0
"304","94k3zbhysc","scene","M1_b","It was a well-acted scene.","scene",1,2,2,2,3
"305","94k3zbhysc","bat","M2_a","He saw a wooden bat.","bat",0,3,0,2,0
"306","94k3zbhysc","column","M2_a","It was a concrete column.","column",0,0,0,0,0
"307","94k3zbhysc","hail","M1_a","They hailed a cab.","hailed",1,3,0,1,3
"308","94k3zbhysc","rock","M1_a","He liked electronic rock.","rock",0,0,0,0,2
"309","94k3zbhysc","position","M1_b","He was in a prominent position.","position",1,2,0,1,2
"310","94k3zbhysc","fix","M2_b","They fixed the price.","fixed",2,3,0,0,0
"311","94k3zbhysc","lap","M1_b","She lapped the water.","lapped",4,4,4,4,0
"312","94k3zbhysc","yard","M1_a","It was five yards.","yards",0,0,1,0,0
"313","94k3zbhysc","title","M2_a","She liked the academic title.","title",3,0,0,0,0
"314","94k3zbhysc","tip","M1_a","It was a generous tip.","tip",1,2,0,0,0
"315","94k3zbhysc","clear","M2_a","He cleared the path.","cleared",0,4,3,4,0
"316","94k3zbhysc","degree","M1_b","It was about fifty degrees.","degrees",1,1,0,2,0
"317","94k3zbhysc","design","M2_a","They liked the product design.","design",5,4,0,0,1
"318","94k3zbhysc","beam","M2_a","He saw the wood beam.","beam",0,0,1,1,0
"319","94k3zbhysc","message","M1_a","There was a phone message.","message",0,0,0,0,3
"320","94k3zbhysc","push","M1_b","He pushed the drugs.","pushed",0,3,0,2,0
"321","94k3zbhysc","stay","M2_b","They stayed overnight.","stayed",0,0,0,5,0
"322","94k3zbhysc","match","M1_b","It was a burning match.","match",0,2,0,0,0
"323","94k3zbhysc","pupil","M2_b","She had a cloudy pupil.","pupil",2,0,0,0,0
"324","94k3zbhysc","date","M2_b","It was a historical date.","date",3,0,0,0,0
"325","94k3zbhysc","bail","M2_a","He bailed out the water.","bailed",0,0,0,1,0
"326","94k3zbhysc","break","M2_a","He broke the law.","broke",0,1,1,0,0
"327","94k3zbhysc","check","M2_a","He checked the alibi.","checked",3,0,0,0,1
"328","94k3zbhysc","company","M1_b","He liked the pharmaceutical company.","company",1,0,0,0,0
"329","94k3zbhysc","term","M1_a","It was a winter term.","term",0,0,0,2,0
"330","ncxlhz4rh6","foundation","M2_a","It was a wooden foundation.","foundation",0,0,5,0,0
"331","ncxlhz4rh6","case","M1_a","It was a beer case.","case",0,5,0,1,1
