"","subject","word","context","sentence","string","Head","Hand_arm","Foot_leg","Torso","Mouth_throat"
"1","gwgfbnvsuq","beam","M2_a","He saw the wood beam.","beam",1,4,2,1,1
"2","gwgfbnvsuq","cast","M1_b","She cast a glow.","cast",1,4,1,1,2
"3","gwgfbnvsuq","pen","M2_a","She penned her memoirs.","penned",4,1,1,1,1
"4","gwgfbnvsuq","breakfast","M1_b","They ate a nutritious breakfast.","breakfast",1,4,1,1,5
"5","gwgfbnvsuq","passage","M2_a","It was a literary passage.","passage",3,3,0,0,2
"6","gwgfbnvsuq","rock","M2_b","He liked granite rock.","rock",0,4,0,0,0
"7","gwgfbnvsuq","column","M2_a","It was a concrete column.","column",0,4,0,0,0
"8","gwgfbnvsuq","title","M1_a","She liked the essay title.","title",3,3,0,0,3
"9","gwgfbnvsuq","act","M2_b","It was a comedic act.","act",4,4,4,4,4
"10","gwgfbnvsuq","file","M2_b","She had a steel file.","file",3,3,3,1,0
"11","gwgfbnvsuq","clog","M1_a","The dancer clogged.","clogged",1,3,3,3,3
"12","gwgfbnvsuq","barrier","M1_a","There was a police barrier.","barrier",1,3,4,3,0
"13","gwgfbnvsuq","function","M1_a","It was a mathematical function.","function",3,2,0,0,1
"14","gwgfbnvsuq","term","M1_b","It was a fall term.","term",0,0,0,0,0
"15","gwgfbnvsuq","clip","M1_b","It was a video clip.","clip",3,0,0,2,0
"16","gwgfbnvsuq","fan","M2_b","They had an enthusiastic fan.","fan",0,4,1,2,2
"17","gwgfbnvsuq","blood","M2_b","He has royal blood.","blood",0,0,0,0,0
"18","gwgfbnvsuq","spill","M2_a","He spilled the news.","spilled",2,0,0,0,0
"19","gwgfbnvsuq","stake","M1_a","He staked his horse.","staked",0,0,0,0,0
"20","gwgfbnvsuq","fix","M1_a","They fixed the radio.","fixed",2,4,1,2,1
"21","gwgfbnvsuq","position","M2_a","He was in a fetal position.","position",1,2,2,2,1
"22","gwgfbnvsuq","sing","M2_a","The bird sang.","sang",1,0,3,1,3
"23","gwgfbnvsuq","case","M1_a","It was a beer case.","case",2,4,0,3,3
"24","gwgfbnvsuq","foundation","M2_a","It was a wooden foundation.","foundation",1,3,2,2,0
"25","gwgfbnvsuq","perch","M2_a","It was a lofty perch.","perch",2,3,2,3,0
"26","gwgfbnvsuq","dinner","M2_b","They liked the anniversary dinner.","dinner",4,4,3,2,5
"27","gwgfbnvsuq","run","M1_b","She ran the race.","ran",3,4,5,4,2
"28","gwgfbnvsuq","cape","M1_b","It was a flowing cape.","cape",2,3,3,3,1
"29","gwgfbnvsuq","cross","M1_a","He crossed a road.","crossed",2,4,5,4,1
"30","gwgfbnvsuq","port","M2_b","It was a sweet port.","port",2,2,2,2,2
"31","gwgfbnvsuq","punch","M2_a","He had the strongest punch.","punch",1,3,1,2,1
"32","gwgfbnvsuq","call","M2_a","They called the loan.","called",3,1,0,0,2
"33","gwgfbnvsuq","cause","M2_a","It was a main cause.","cause",0,0,0,0,0
"34","gwgfbnvsuq","check","M2_a","He checked the alibi.","checked",3,0,0,0,3
"35","gwgfbnvsuq","stay","M1_a","They stayed wet.","stayed",1,2,0,0,1
"36","gwgfbnvsuq","course","M2_b","It was a collision course.","course",0,0,0,0,0
"37","gwgfbnvsuq","scale","M1_b","It was a lizard scale.","scale",0,3,0,0,0
"38","gwgfbnvsuq","chicken","M1_b","They liked the roasted chicken.","chicken",2,3,3,3,4
"39","gwgfbnvsuq","stall","M1_a","They stalled the truck.","stalled",0,3,0,3,0
"40","gwgfbnvsuq","racket","M1_a","That was a loud racket.","racket",0,3,0,0,0
"41","gwgfbnvsuq","scene","M1_b","It was a well-acted scene.","scene",1,4,1,1,2
"42","gwgfbnvsuq","guide","M1_a","He had an assembly guide.","guide",3,4,2,3,3
"43","gwgfbnvsuq","mole","M2_a","She saw the cute mole.","mole",4,3,3,1,1
"44","gwgfbnvsuq","mold","M1_a","It was a fungal mold.","mold",4,2,0,0,0
"45","gwgfbnvsuq","poach","M1_b","She poached the bear.","poached",3,3,1,2,1
